item	pid	year	title	author_keywords	code	note
1	P039	2025	그래픽 디자인 산업에서 생성형 AI 기반 작업의 비인지능력 결여 문제와 시사점: 2023년~2025년 사례 분석을 중심으로	생성형 AI, AI와 디자인, 그래픽 디자인 산업, AI 디자이너, 비인지능력, VUCA 시대		
2	P097	2024	대학로 공연장 집적의 장소성과 관람 행동에 따른 공연성과에 관한 연구: KOPIS와 K-MEANS 군집 알고리즘에 기반으로	공연예술통합전산망(KOPIS), 공연장 집적의 장소성, 계획행동이론(TPB), 공연예술상품 특성, 관람객 특성		
3	P026	2025	생성형 인공지능 기반 웹툰 창작의 가능성	생성형 AI(인공지능), AI(인공지능), 프롬프트 엔지니어링, 웹툰, 무빙 웹툰, 미드저니(Midjourney)		
4	P023	2025	패션 디자인 프로세스 증진을 위한 생성형 AI 도구 탐색 - 구상 및 구현 단계의 도식화 제작을 중심으로 -	패션 디자인 프로세스, 생성형 AI, 도식화, 인간-AI 협업, AI 기반 패션 디자인		
5	P018	2023	디자인교육에서 ChatGPT와 Midjourney의 효과성 연구-스토리 일러스트레이션의 창작물을 중심으로-	쳇지피티, 미드저니, 디자인 교육		
6	P061	2024	생성형 AI를 활용한 미술 중심 융합교육 프로그램 개발 및 적용	미술 중심 융합교육, 생성형 AI, STEAM, 예술융합교육, 텍스트 투 이미지		
7	P010	2024	생성형 AI 창작물의 저작권 성립 여부 및 침해 요건 검토 -창작성 판단 기준과 차용미술과의 비교를 중심으로-	생성형 AI, 이미지 생성형 AI, 생성형 AI 저작권 안내서, 저작권법, 창작성, 인공지능, 차용미술, 공정이용, 프롬프트		
8	P068	2025	생성형 AI와 대중의 인식: 이미지 생성형 AI에 대한 설문조사 결과	생성형, 인공지능, 대중, 인식, 미드저니, 달리		
9	P071	2024	패션 상품 기획 프로세스를 위한 생성형 AI 리터러시 제안	패션 디자인 창작 프로세스, 프롬프트 엔지니어링, 생성형 AI 리터러시, 패션 상품 기획		
10	P066	2024	인공지능 생성 콘텐츠(AIGC)와 인공지능 사용 공개(AID)에 대한 소비자 인식 연구	생성형 AI, AI 콘텐츠 생성, AI 사용 여부 공개, 진정성, 기만, 카노 모형		
