item	pid	year	title	author_keywords	code	note
1	P067	2024	AI 정보의 표시: AI기반 콘텐츠에 대한 소비자 반응	AI 정보 표시, AI 생성 콘텐츠, 메시지 유형, 소비자 반응		
2	P088	2022	예술 지원 경로에 따른 예술인 삶의 질 효과분석	예술인, 예술정책만족도, 예술활동만족도, 예술지원금, 예술경력		
3	P105	2021	공연예술시장 활성화를 위한 공연예술통합전산망(KOPIS) 개선방안 연구	공연예술, 공연예술시설, 공연예술시장, 공연예술정책, 공연예술통합전산망		
4	P028	2025	생성형 인공지능을 활용한 2D 게임 그래픽 에셋 제작 연구 동향	생성형 인공지능, 절차적 콘텐츠 생성, 게임 그래픽 에셋, 2D 스프라이트, 픽셀 아트, 생성적 적대 신경망, 확산 모델		
5	P079	2025	전통적 광고와 생성형 AI 광고의 효과성 비교 탐색적 연구 : 볼보 광고를 중심으로	생성형 AI 광고, 전통적 광고, 광고 설득력, 광고 태도, 구매 의도, 브랜드 태도		
6	P035	2024	생성형 AI를 활용한 사용자 맞춤 영상 제작 활용 가능성 분석	생성형AI, 생성형AI 영상제작, 생성형AI 연출, 이미지-투-비디오, 생성형AI 영상, 생성형AI 영화		
7	P014	2024	디자이너와 생성형 인공지능의 협업을 통한 디자인 이미지 생성에 관한 연구: ChatGPT와 Midjourney를 중심으로	인간과 기계 협업 디자인, 디자인 의도, 프롬프트, 쳇GPT, 미드저니		
8	P015	2024	생성형 AI 활용이 디자인과 학생들의 심리적 안정감과 창의적 성취에 미치는 영향에 관한 질적 연구	생성형 AI, 디자인교육, 질적연구방법, 심리적 안정감, 창의적 성취		
9	P095	2023	국내 아트아카이브의 발전을 위한 과제 모색: 서울시립 미술아카이브의 조성과정을 중심으로	서울시립 미술아카이브, 아트아카이브, 미술아카이브, 수집정책, art archives		
10	P022	2025	그래픽 디자인에서 이미지 생성형 AI 툴의 활용 우위도 분석	이미지 생성형 AI, 우위, 그래픽 디자인, 디자인 프로세스		
11	P104	2023	영화 효과음원 온라인 서비스 개선방안 연구 : K-Sound Library를 중심으로	효과음원 아카이브, 온라인서비스, 한국형 효과음원, 패싯분류		
12	P092	2024	청년 예술인의 노동 특수성과 불안정성 감당하기	청년 예술인, 예술 노동, 불안정성, 일반적 질적연구		
13	P073	2024	디자인전공 학생의 생성형 AI 수용에 관한 연구	생성형 AI, 디자인교육, 기술수용모형, 혁신 특성		
14	P042	2024	작곡 AI의 현재와 쟁점에 따른 국내 음악저작권 논의방향 연구	작곡 AI, 음악저작권, 생성형 AI, AI 저작권, 저작권법		
15	P063	2024	이미지 생성 AI 발전 동향에 따른 교육 방향 모색	생성형 AI, 인터페이스, 발전, 동향, 교육		
16	P101	2024	시각예술자료 아카이빙을 위한 수집정책 연구 - 국립현대미술관을 중심으로-	시각예술자료, 미술자료, 미술기록, 아카이빙, 수집정책		
17	P081	2021	인공지능 시대, 문화예술 분야로의 확장	인공지능, 딥러닝, 생성모델, 문화예술콘텐츠, 인공지능-문화예술 융합연구		
18	P062	2024	미술교육 학습 도구로서 활용을 위한 생성형 AI 서비스 분석	생성형 AI, 미술교육, 텍스트 투 이미지, 멀티모달 AI		
19	P049	2024	AI 창작 기술에 따른 인공지능 소설의 유형 분석	AI, AI novels, Pharmako-AI		
20	P051	2024	인간-AI 공동창작 공연예술 특성 연구 : 국내 AI 공연예술 작품을 중심으로	인공지능, 인공창의, 공연예술, 공동창작, 현존, 디지털 아우라		
21	P036	2024	웹툰 제작 과정에서의 인공지능 기술 활용 방안 연구	웹툰, 일러스트레이션, 인공지능 기술, 자동화, 재현		
22	P025	2024	이미지 생성 AI를 활용한 미디어아트에 관한 연구	이미지 생성, 생성 AI, 미디어 아트, 융합 예술		
23	P108	2023	국내 지상파 방송사의 아카이브 개방·공유 사업과 아카이브 이용자 연구 : KBS 5.18 아카이브 시민공유 프로젝트	기록정보서비스, 공공기록, 공공영상아카이브, 방송·영상아카이브, 지상파 방송사, 미디어 공공성, 푸티지영상		
24	P091	2022	포스트 코로나 시대의 지역문화예술 지원정책 방향 연구	코로나19, 공연예술, 문화예술지원정책, 지역문화분권, 지역문화정책		
25	P046	2023	생성형 인공지능을 활용한 소설 창작 교육의 가능성	생성형 인공지능, 소설 창작, 소설 창작 교육, 창의성, AI시대의 창작 역량, 챗GPT, Bard		
26	P096	2023	미술 아카이브 저작권 쟁점에 관한 연구	아트 아카이브, 시각예술 아카이브, 미술관 아카이브, 아키비스트, 저작권법		
27	P008	2025	2개의 공공건축 설계공모 사례에 기반한 생성형 AI 활용 분석과 교육 확장 기초연구	AI 설계도구, 공공건축, 건축설계 교육, Midjourney, Stable Diffusion		
28	P038	2023	생성형 AI에 의한 창작물과 저작권	생성형 인공지능, 생성형 AI, AI를 이용한 창작물, 창작적 기여, 챗GPT, AI 자율창작물, 데이터베이스, 공정이용 원칙, 데이터마이닝 및 텍스트마이닝		
29	P103	2025	디지털 인문학 관점에서 본 근대문학 데이터베이스 구축과 활용 가능성	한국 근대문학, 데이터베이스, 디지털 인문학, 코퍼스, 형태소 분석, 표준화		
30	P109	2022	예술기록에 관한 분류·기술 사례 연구 - 서울시립 미술아카이브를 중심으로 -	Art Archives, 분류, 분류체계, 기술, 기술요소		
31	P085	2023	국가 위기 속 문화예술: 코로나19 시기 문화예술 지원 정책 담론분석	코로나19, 문화예술 지원 정책, 비판적 담론분석		
32	P002	2024	이미지 생성형 AI를 활용한 비주얼 아이덴티티 디자인의 표현 가능성 연구- 미드저니를 중심으로 -	비주얼 아이덴티티, 미드저니, 이미지 생성형 AI		
33	P107	2025	무용 아카이빙의 디지털 전환과 저작권 보호 방안 연구	무용, 디지털 전환, 무용 아카이빙, 저작권 보호, 인공지능		
34	P099	2022	남산예술센터 디지털 아카이브 개선 방안 연구	남산예술센터 디지털 아카이브, 공간 아카이브, 공공데이터, 네트워크 그래프, 개념 데이터		
35	P083	2023	예술인 복지 제도가 예술인들의 경제적, 예술적 활동에 미친 영향에 대한 실증 분석	예술인 복지 제도, 예술인 실태조사, 예술인 복지법, 경제적 활동, 예술적 활동		
36	P102	2024	구술아카이브의 데이터 검색과 공유의 한계점과 개선 방안에 관한 연구	구술사, 구술 아카이브, 디지털 아카이브 플랫폼, 데이터 구조, 검색 시스템, 색인, 디지털인문학, 융합 연구		
37	P100	2024	영화인 구술 아카이브의 활용 방안 연구	한국영상자료원, 영화인 구술 아카이브, 수입외화, 소극장, 수입 자유화		
38	P009	2024	패션 디자인과 생성형 AI: 창작물의 범주와 윤리적 과제	저작권, 창작물, 윤리적 과제, 패션 디자인, 생성형 AI		
39	P110	2025	K-POP 디지털 아카이브의 글로벌 활용을 위한 전략 연구 : KMDC(Korea Music Data Center)를 중심으로	K-POP, 디지털 아카이브, KMDC, Korea Music Data Center, 문화 플랫폼, 글로벌 활용		
40	P020	2024	기술철학적 관점을 반영한 생성적 인공지능 예술창작 사례 연구	인공지능, 인공지능예술, 프롬프트 엔지니어링, 기술철학, 인공지능미학		
41	P106	2024	공연예술 아카이브 담론의 실천 연구 - 국립무형유산원 사례를 중심으로 -	공연예술 아카이빙, 국립무형유산원, 전승자 지원과 관리, 기록 생성과 관리, 무형유산 진흥		
42	P098	2022	디지털 음악학: 새로운 공간, 새로운 관계 맺기 -보존에서 창조로-	디지털 인문학, 디지털 음악학, 디지털 아카이브, 데이터베이스, 데이터 시각화, 네트워크, 큐레이션		
43	P060	2025	AI 시대 시각문화 환경에서의 비주얼 리터러시 교육	인공지능, 시각문화, 비주얼 리터러시, 미술교육		
