no	year	author	title	journal	unit	infra_type	url
1	2025	전수진, 김승인	AI 기반 이미지 생성 도구의 기술적 특성과 창의적 활용 비교에 관한 연구: 미드저니, 달·이, 어도비 파이어플라이 중심으로	산업진흥연구	작품·제작		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003231026
2	2024	임장한, 윤수진	이미지 생성형 AI를 활용한 비주얼 아이덴티티 디자인의 표현 가능성 연구- 미드저니를 중심으로 -	브랜드디자인학연구	작품·제작		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003064825
3	2025	백순정, 이정현	생성형 인공지능(AI) 활용 텍스타일 디자인 -디자인 플랫폼 활용을 중심으로-	기초조형학연구	작품·제작		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003202049
4	2025	강규연, 박선희	생성형 AI를 활용한 패션 디자인 컬렉션 구현 - 지속 가능한 패션 디자인을 중심으로 -	한국패션디자인학회지	작품·제작		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003194739
5	2024	사한, 성락천, 이동열	생성형 AI 기반 게임 캐릭터 디자인의 시각적 일관성 유지 방법 연구: Stable Diffusion Flux 모델	한국게임학회 논문지	작품·제작		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003147679
6	2025	이방원	생성형 AI 시대 일러스트레이터의 역량에 대한 고찰	커뮤니케이션디자인학연구	개인 역량		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003170338
7	2025	손숙영	생성형 인공지능(GAI) 시대의 디자인 오리지널리티 재고찰	한국디자인리서치	개인 역량		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003245627
8	2025	김재현	2개의 공공건축 설계공모 사례에 기반한 생성형 AI 활용 분석과 교육 확장 기초연구	한국공간디자인학회 논문집	작품·제작		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003237624
9	2024	배윤지	패션 디자인과 생성형 AI: 창작물의 범주와 윤리적 과제	한국의류산업학회지	제도·정책		https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART003115692
10	2024	박서현, 가지현	생성형 AI 창작물의 저작권 성립 여부 및 침해 요건 검토 -창작성 판단 기준과 차용미술과의 비교를 중심으로-	디자인 이노베이션 연구	제도·정책		https://www.kci.go.kr/kciportal/landing/article.kci?arti_id=ART003089488
